FID,the_geom,code,timestamp,air_pressure,air_temperature_avg,air_temperature_max,air_temperature_min,relative_humidity,precipitation,wind_speed,qc_flags
aws_1day.fid--7433afc2_184f1ef2752_-6e3,POINT (5.255 50.194),6472,2021-11-25T23:00:00,962.51,2.3,3.18,1.43,95.71,5.43,5.28,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6e2,POINT (5.255 50.194),6472,2021-12-02T23:00:00,974.62,1.36,2.89,-0.33,94.14,0.35,6.32,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6e1,POINT (5.255 50.194),6472,2021-11-29T23:00:00,977.19,4.96,6.92,1.21,98.04,8.06,6.93,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6e0,POINT (5.255 50.194),6472,2021-12-15T23:00:00,1002.53,6.94,8.65,5.28,97.51,0,1.66,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6df,POINT (5.255 50.194),6472,2021-11-20T23:00:00,979.92,4.95,6.25,3.52,100,2.55,2.72,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6de,POINT (5.255 50.194),6472,2021-11-27T23:00:00,964.03,1.25,2.1,0.35,98.31,3.37,2.48,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6dd,POINT (5.255 50.194),6472,2021-12-23T23:00:00,972.53,6.33,6.85,5.67,95.6,0.64,3.3,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6dc,POINT (5.255 50.194),6472,2022-01-16T23:00:00,1000.52,2.62,3.9,0.84,99.17,0.15,2.91,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6db,POINT (5.255 50.194),6472,2022-02-24T23:00:00,990.59,1.97,5.85,-0.69,81.68,0.76,4,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6da,POINT (5.255 50.194),6472,2022-03-12T23:00:00,979.99,9.17,13.34,6.57,68.5,1.19,5.53,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6d9,POINT (5.255 50.194),6472,2022-01-26T23:00:00,993.52,2.67,5.15,-0.49,99.03,3.59,4.64,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
aws_1day.fid--7433afc2_184f1ef2752_-6d8,POINT (3.202 51.348),6418,2021-11-27T23:00:00,998.86,5.83,8.04,3.64,84.64,13.79,8.69,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }"
